datetime,temperature,pressure,relative_humidity,wind_speed,wind_direction,rainfall,dew‐point_temperature,sea_level_pressure,day_length,year,month,day,hour
2019-01-01,0.8,1030.3,81,1.4,南西,0.0,-2.1,1031.7,0,2019,1,1,1
2019-01-01,0.3,1029.8,85,1.4,南南西,0.0,-1.9,1031.2,0,2019,1,1,2
2019-01-01,0.8,1030.0,81,2.8,西南西,0.0,-2.1,1031.4,0,2019,1,1,3
2019-01-01,0.1,1028.8,82,0.8,南,0.0,-2.6,1030.2,0,2019,1,1,4
2019-01-01,0.0,1028.0,84,0.7,西北西,0.0,-2.4,1029.4,0,2019,1,1,5
2019-01-01,-0.1,1028.5,82,1.6,南西,0.0,-2.8,1029.9,0,2019,1,1,6
2019-01-01,0.3,1029.2,79,2.0,西南西,0.0,-2.9,1030.6,0,2019,1,1,7
2019-01-01,1.1,1029.2,75,1.6,南西,0.0,-2.8,1030.6,0.5,2019,1,1,8
2019-01-01,3.3,1028.9,64,0.5,南南西,0.0,-2.8,1030.3,1.0,2019,1,1,9
2019-01-01,5.8,1028.2,59,0.5,東南東,0.0,-1.6,1029.5,1.0,2019,1,1,10
2019-01-01,7.3,1026.9,50,0.7,東南東,0.0,-2.4,1028.2,1.0,2019,1,1,11
2019-01-01,9.5,1025.5,47,1.1,南南東,0.0,-1.2,1026.8,1.0,2019,1,1,12
2019-01-01,8.4,1024.8,53,3.5,北北西,0.0,-0.6,1026.1,0.3,2019,1,1,13
2019-01-01,9.4,1024.3,57,2.9,西,0.0,1.3,1025.6,0.2,2019,1,1,14
2019-01-01,9.5,1024.3,60,3.9,西,0.0,2.1,1025.6,0.1,2019,1,1,15
2019-01-01,9.6,1024.0,59,4.4,西南西,0.0,2.0,1025.3,0.0,2019,1,1,16
2019-01-01,9.5,1023.8,63,4.0,西南西,0.0,2.8,1025.1,0.0,2019,1,1,17
2019-01-01,9.5,1023.8,59,2.8,西南西,0.0,1.9,1025.1,0.0,2019,1,1,18
2019-01-01,9.3,1023.9,60,6.0,西,0.0,1.9,1025.2,0,2019,1,1,19
2019-01-01,9.3,1023.7,53,4.8,西,0.0,0.2,1025.0,0,2019,1,1,20
2019-01-01,9.1,1023.8,55,6.3,西,0.0,0.6,1025.1,0,2019,1,1,21
2019-01-01,8.6,1023.7,50,4.4,西,0.0,-1.2,1025.0,0,2019,1,1,22
2019-01-01,8.5,1023.8,46,4.3,西北西,0.0,-2.4,1025.1,0,2019,1,1,23
2019-01-01,8.0,1023.9,50,5.1,西,0.0,-1.8,1025.2,0,2019,1,1,24
2019-01-02,6.6,1024.9,65,4.5,北西,0.0,0.5,1026.2,0,2019,1,2,1
2019-01-02,6.2,1025.6,58,4.3,北西,0.0,-1.4,1026.9,0,2019,1,2,2
2019-01-02,5.9,1026.1,59,3.6,西北西,0.0,-1.5,1027.4,0,2019,1,2,3
2019-01-02,5.5,1025.7,60,5.1,西北西,0.0,-1.6,1027.0,0,2019,1,2,4
2019-01-02,5.3,1025.7,61,4.3,西北西,0.0,-1.6,1027.0,0,2019,1,2,5
2019-01-02,5.2,1026.0,55,4.9,西,0.0,-3.1,1027.3,0,2019,1,2,6
2019-01-02,5.1,1026.9,51,3.2,西北西,0.0,-4.2,1028.2,0,2019,1,2,7
2019-01-02,5.2,1027.6,57,4.3,西,0.0,-2.6,1028.9,0.5,2019,1,2,8
2019-01-02,6.5,1027.7,53,3.7,西,0.0,-2.4,1029.0,1.0,2019,1,2,9
2019-01-02,7.8,1027.6,51,4.5,西,0.0,-1.7,1028.9,1.0,2019,1,2,10
2019-01-02,8.3,1026.8,50,3.3,西北西,0.0,-1.5,1028.1,0.9,2019,1,2,11
2019-01-02,8.8,1025.7,46,5.8,西北西,0.0,-2.2,1027.0,1.0,2019,1,2,12
2019-01-02,8.8,1025.2,51,5.1,西北西,0.0,-0.8,1026.5,0.6,2019,1,2,13
2019-01-02,9.4,1024.6,48,5.9,西,0.0,-1.0,1025.9,0.9,2019,1,2,14
2019-01-02,8.7,1025.1,50,5.8,西,0.0,-1.1,1026.4,1.0,2019,1,2,15
2019-01-02,7.9,1025.5,56,7.6,西南西,0.0,-0.3,1026.8,1.0,2019,1,2,16
2019-01-02,7.2,1025.6,58,5.2,西,0.0,-0.5,1026.9,0.6,2019,1,2,17
2019-01-02,7.0,1026.4,53,4.0,西北西,0.0,-1.9,1027.7,0.0,2019,1,2,18
2019-01-02,6.2,1026.8,56,2.4,西北西,0.0,-1.9,1028.1,0,2019,1,2,19
2019-01-02,6.4,1027.0,54,3.6,西北西,0.0,-2.2,1028.3,0,2019,1,2,20
2019-01-02,6.1,1027.0,53,4.3,西北西,0.0,-2.7,1028.3,0,2019,1,2,21
2019-01-02,5.9,1027.2,51,4.1,西北西,0.0,-3.4,1028.5,0,2019,1,2,22
2019-01-02,5.8,1027.3,53,3.6,西北西,0.0,-3.0,1028.6,0,2019,1,2,23
2019-01-02,5.4,1027.6,57,3.2,西,0.0,-2.4,1028.9,0,2019,1,2,24
2019-01-03,5.0,1027.4,59,2.8,西,0.0,-2.3,1028.7,0,2019,1,3,1
2019-01-03,4.5,1027.7,61,2.8,西,0.0,-2.4,1029.0,0,2019,1,3,2
2019-01-03,2.5,1027.0,70,2.5,南南西,0.0,-2.4,1028.4,0,2019,1,3,3
2019-01-03,2.7,1026.7,70,2.4,西南西,0.0,-2.2,1028.1,0,2019,1,3,4
2019-01-03,4.1,1027.0,64,3.4,西,0.0,-2.1,1028.4,0,2019,1,3,5
2019-01-03,3.9,1027.2,64,3.5,西,0.0,-2.3,1028.6,0,2019,1,3,6
2019-01-03,3.6,1027.5,67,2.9,西,0.0,-1.9,1028.9,0,2019,1,3,7
2019-01-03,4.8,1028.1,63,2.8,西,0.0,-1.6,1029.4,0.6,2019,1,3,8
2019-01-03,6.7,1029.0,57,3.3,西,0.0,-1.2,1030.3,0.5,2019,1,3,9
2019-01-03,8.3,1029.3,53,4.3,西南西,0.0,-0.7,1030.6,1.0,2019,1,3,10
2019-01-03,9.0,1028.9,47,5.3,西,0.0,-1.7,1030.2,1.0,2019,1,3,11
2019-01-03,9.8,1028.0,44,4.5,西,0.0,-1.9,1029.3,0.9,2019,1,3,12
2019-01-03,10.3,1027.4,41,4.8,西,0.0,-2.4,1028.7,1.0,2019,1,3,13
2019-01-03,9.1,1027.3,45,3.3,北西,0.0,-2.2,1028.6,0.3,2019,1,3,14
2019-01-03,9.7,1027.7,45,4.7,西,0.0,-1.6,1029.0,0.9,2019,1,3,15
2019-01-03,9.5,1028.2,46,4.1,西南西,0.0,-1.5,1029.5,1.0,2019,1,3,16
2019-01-03,8.4,1028.7,50,2.6,西南西,0.0,-1.4,1030.0,0.6,2019,1,3,17
2019-01-03,7.2,1029.1,55,2.9,西南西,0.0,-1.2,1030.4,0.0,2019,1,3,18
2019-01-03,6.7,1029.5,57,2.4,西南西,0.0,-1.2,1030.8,0,2019,1,3,19
2019-01-03,5.9,1030.1,61,2.5,西,0.0,-1.0,1031.4,0,2019,1,3,20
2019-01-03,5.7,1030.2,62,2.1,西,0.0,-1.0,1031.5,0,2019,1,3,21
2019-01-03,5.1,1030.2,64,1.1,南,0.0,-1.1,1031.5,0,2019,1,3,22
2019-01-03,4.1,1030.2,69,1.8,南西,0.0,-1.1,1031.6,0,2019,1,3,23
2019-01-03,2.8,1030.5,74,1.9,西南西,0.0,-1.4,1031.9,0,2019,1,3,24
2019-01-04,2.6,1030.8,75,0.9,南南西,0.0,-1.4,1032.2,0,2019,1,4,1
2019-01-04,2.2,1031.4,77,2.2,西南西,0.0,-1.4,1032.8,0,2019,1,4,2
2019-01-04,1.6,1031.0,78,1.6,南西,0.0,-1.8,1032.4,0,2019,1,4,3
2019-01-04,1.2,1030.8,81,1.9,西南西,0.0,-1.7,1032.2,0,2019,1,4,4
2019-01-04,1.0,1030.5,81,1.7,南西,0.0,-1.9,1031.9,0,2019,1,4,5
2019-01-04,1.1,1030.7,81,1.8,南西,0.0,-1.8,1032.1,0,2019,1,4,6
2019-01-04,1.2,1030.8,80,2.5,南西,0.0,-1.9,1032.2,0,2019,1,4,7
2019-01-04,1.9,1030.4,77,1.6,南西,0.0,-1.7,1031.8,0.6,2019,1,4,8
2019-01-04,3.7,1030.0,70,0.5,南南東,0.0,-1.3,1031.4,1.0,2019,1,4,9
2019-01-04,7.5,1030.4,55,0.9,北,0.0,-0.9,1031.7,1.0,2019,1,4,10
2019-01-04,8.9,1029.4,48,1.7,北東,0.0,-1.5,1030.7,1.0,2019,1,4,11
2019-01-04,10.0,1028.5,51,1.5,西北西,0.0,0.3,1029.8,1.0,2019,1,4,12
2019-01-04,10.1,1027.0,48,2.3,北,0.0,-0.4,1028.3,1.0,2019,1,4,13
2019-01-04,10.1,1026.5,49,2.4,北北西,0.0,-0.1,1027.8,1.0,2019,1,4,14
2019-01-04,10.2,1026.1,51,1.1,北東,0.0,0.5,1027.4,0.6,2019,1,4,15
2019-01-04,9.6,1025.5,52,1.6,北北東,0.0,0.2,1026.8,0.1,2019,1,4,16
2019-01-04,9.1,1024.9,63,1.5,東,0.0,2.4,1026.2,0.1,2019,1,4,17
2019-01-04,8.4,1025.3,67,1.0,東南東,0.0,2.6,1026.6,0.0,2019,1,4,18
2019-01-04,8.1,1025.4,68,1.0,南東,0.0,2.6,1026.7,0,2019,1,4,19
2019-01-04,7.8,1024.8,70,0.8,南南東,0.0,2.7,1026.1,0,2019,1,4,20
2019-01-04,7.8,1024.2,69,0.8,西南西,0.0,2.5,1025.5,0,2019,1,4,21
2019-01-04,7.6,1023.8,71,1.0,西南西,0.0,2.7,1025.1,0,2019,1,4,22
2019-01-04,7.6,1022.9,68,1.4,西,0.0,2.1,1024.2,0,2019,1,4,23
2019-01-04,8.2,1021.9,64,0.6,南南東,0.0,1.8,1023.2,0,2019,1,4,24
2019-01-05,8.0,1021.9,67,0.7,南南東,0.0,2.3,1023.2,0,2019,1,5,1
2019-01-05,8.9,1021.6,62,1.0,東,0.0,2.0,1022.9,0,2019,1,5,2
2019-01-05,8.7,1020.8,63,1.1,東南東,0.0,2.1,1022.1,0,2019,1,5,3
2019-01-05,8.9,1020.1,64,1.5,南南東,0.0,2.5,1021.4,0,2019,1,5,4
2019-01-05,8.7,1019.5,72,1.0,南東,0.0,4.0,1020.8,0,2019,1,5,5
2019-01-05,9.2,1019.4,68,1.3,南南東,0.0,3.6,1020.7,0,2019,1,5,6
2019-01-05,8.6,1018.8,76,0.8,南西,0.0,4.6,1020.1,0,2019,1,5,7
2019-01-05,10.1,1019.2,75,1.8,西,0.0,5.9,1020.5,0.0,2019,1,5,8
2019-01-05,9.7,1019.8,78,2.5,北西,0.0,6.1,1021.1,0.0,2019,1,5,9
2019-01-05,9.8,1020.5,70,2.2,西北西,0.0,4.6,1021.8,0.0,2019,1,5,10
2019-01-05,9.9,1019.7,68,1.4,西北西,0.0,4.3,1021.0,0.0,2019,1,5,11
2019-01-05,10.0,1019.0,65,3.0,西北西,0.0,3.7,1020.3,0.0,2019,1,5,12
2019-01-05,10.4,1018.1,62,2.3,西,0.0,3.4,1019.4,0.0,2019,1,5,13
2019-01-05,10.7,1017.5,61,2.8,西,0.0,3.5,1018.8,0.0,2019,1,5,14
2019-01-05,11.3,1017.6,55,3.1,西北西,0.0,2.6,1018.9,0.5,2019,1,5,15
2019-01-05,11.3,1017.9,53,3.5,西,0.0,2.1,1019.2,0.9,2019,1,5,16
2019-01-05,10.4,1018.2,54,3.1,西北西,0.0,1.5,1019.5,0.6,2019,1,5,17
2019-01-05,9.5,1018.7,58,2.8,西,0.0,1.7,1020.0,0.0,2019,1,5,18
2019-01-05,7.8,1019.0,76,1.4,南南東,0.0,3.9,1020.3,0,2019,1,5,19
2019-01-05,9.3,1019.4,57,2.6,北西,0.0,1.2,1020.7,0,2019,1,5,20
2019-01-05,8.7,1019.9,55,3.1,北西,0.0,0.2,1021.2,0,2019,1,5,21
2019-01-05,7.9,1020.0,55,1.9,北西,0.0,-0.6,1021.3,0,2019,1,5,22
2019-01-05,8.8,1020.0,50,3.1,北西,0.0,-1.0,1021.3,0,2019,1,5,23
2019-01-05,8.4,1019.4,52,3.3,北西,0.0,-0.9,1020.7,0,2019,1,5,24
